Quebra 1 ;Quebra 2 ;Código Natureza Despesa;Descrição Natureza Despesa;Código Categoria;Descrição Categoria;Tipo Empenho;Valor Empenhado Período;Valor Empenhado Acumulado;Valor Estorno;Valor Processado;Valor Anulado;Valor O.P;Valor O.P Baixada Período;Valor O.P Baixada Acumulado;
1-CAMARA MUNICIPAL;-;319011;Vencimentos E Vantagens Fixas -  Pessoal Civil;1;Vencimentos E Salários;Orçamentário;133026883,58;133026883,58;9548734,4;123478149,18;0;123478149,18;123478149,18;123478149,18;
1-CAMARA MUNICIPAL;-;319011;Vencimentos E Vantagens Fixas -  Pessoal Civil;42;Férias Indenizadas, Vencidas E Proporcionais;Orçamentário;31425,07;31425,07;0;31425,07;0;31425,07;31425,07;31425,07;
1-CAMARA MUNICIPAL;-;319113;Obrigações Patronais;8;Contribuições Previdenciárias - Rpps - Pessoal Ativo - Plano Previdenc;Orçamentário;986659,38;986659,38;659936,77;326722,61;0;326722,61;219075,6;219075,6;
1-CAMARA MUNICIPAL;-;339014;Diárias - Civil;14;Diárias No Pais;Orçamentário;3200;3200;1400;1800;0;1800;1800;1800;
1-CAMARA MUNICIPAL;-;339030;Material De Consumo;99;Outros Materiais De Consumo;Orçamentário;57400;57400;41278,8;16121,2;0;16121,2;9840;9840;
1-CAMARA MUNICIPAL;-;339036;Outros Serviços De Terceiros - Pessoa Fisica;99;Outros Serviços;Orçamentário;40977253,13;40977253,13;1765159,22;39212093,91;0;39212093,91;39212093,91;39212093,91;
1-CAMARA MUNICIPAL;-;339039;Outros Serviços De Terceiros -  Pessoa Jurídica;12;Locação De Máquinas E Equipamentos;Orçamentário;247596;247596;123798;123798;0;123798;0;0;
1-CAMARA MUNICIPAL;-;339039;Outros Serviços De Terceiros -  Pessoa Jurídica;14;Locação Bens Móveis De Outras Naturezas E Intangíveis;Orçamentário;12300;12300;0;12300;0;12300;12300;12300;
1-CAMARA MUNICIPAL;-;339039;Outros Serviços De Terceiros -  Pessoa Jurídica;41;Fornecimento De Alimentação;Orçamentário;343580;343580;297699,5;45880,5;0;45880,5;0;0;
1-CAMARA MUNICIPAL;-;339039;Outros Serviços De Terceiros -  Pessoa Jurídica;43;Serviços De Energia Elétrica;Orçamentário;323823;323823;44706,23;279116,77;0;279116,77;279116,77;279116,77;
1-CAMARA MUNICIPAL;-;339039;Outros Serviços De Terceiros -  Pessoa Jurídica;44;Serviços De Água E Esgoto;Orçamentário;61664,42;61664,42;33501,38;28163,04;0;28163,04;0;0;
1-CAMARA MUNICIPAL;-;339039;Outros Serviços De Terceiros -  Pessoa Jurídica;63;Serviços Gráficos;Orçamentário;718420;718420;718420;0;0;0;0;0;
1-CAMARA MUNICIPAL;-;339039;Outros Serviços De Terceiros -  Pessoa Jurídica;90;Serviços De Publicidade Legal;Orçamentário;6000000;6000000;5338037,5;661962,5;0;661962,5;296087,5;296087,5;
1-CAMARA MUNICIPAL;-;339039;Outros Serviços De Terceiros -  Pessoa Jurídica;99;Outros Serviços De Terceiros -Pessoa Jurídica;Orçamentário;2263895,29;2263895,29;1154150,31;314224,11;0;314224,11;229594,11;229594,11;
1-CAMARA MUNICIPAL;-;339092;Despesas De Exercícios Anteriores;99;Outras Despesas De Exercícios Anteriores;Orçamentário;28198;28198;0;28198;0;28198;6162,64;6162,64;
1-CAMARA MUNICIPAL;-;339093;Indenizações E Restituições;99;Diversas Indenizações E Restituições;Orçamentário;7760000;7760000;330610,5;7429389,5;0;7429299,5;7409299,5;7409299,5;
1-CAMARA MUNICIPAL;-;449052;Equipamentos E Material Permanente;33;Equipamentos Para Áudio, Vídeo E Foto;Orçamentário;129360;129360;47259,52;82100,48;0;82100,48;61575,36;61575,36;
1-CAMARA MUNICIPAL;-;469071;Principal Da Dívida Contratual Resgatado;1;Amortização Da Dívida Contratual;Orçamentário;287859,84;287859,84;0;287859,84;0;287859,84;287859,84;287859,84;
11-GOVERNADORIA DO MUNICIPIO;-;319004;Contratação Por Tempo Determinado;11;Salários - Contrato Temporário;Orçamentário;1597645,67;1597645,67;104617,49;1493028,18;0;1485321,15;1485321,15;1485321,15;
11-GOVERNADORIA DO MUNICIPIO;-;319004;Contratação Por Tempo Determinado;13;13º Salário - Contrato Temporário;Orçamentário;1358062,06;1358062,06;538191,92;819870,14;0;819870,14;819870,14;819870,14;
11-GOVERNADORIA DO MUNICIPIO;-;319004;Contratação Por Tempo Determinado;99;Outras Contratações Por Tempo Determinado;Orçamentário;15445991,2;15445991,2;2522359,14;12923632,06;7940,9;12915691,16;12915691,16;12915691,16;
11-GOVERNADORIA DO MUNICIPIO;-;319011;Vencimentos E Vantagens Fixas -  Pessoal Civil;1;Vencimentos E Salários;Orçamentário;149869086,05;149869086,05;44901010,32;104788768,38;0;104787518,15;104787518,15;104787518,15;
11-GOVERNADORIA DO MUNICIPIO;-;319011;Vencimentos E Vantagens Fixas -  Pessoal Civil;43;13º Salário;Orçamentário;14098034,07;14098034,07;4424914,07;9673120;0;9673120;9673120;9673120;
11-GOVERNADORIA DO MUNICIPIO;-;319011;Vencimentos E Vantagens Fixas -  Pessoal Civil;44;Férias - Abono Pecuniário;Orçamentário;4617849,08;4617849,08;1828513,82;2789335,26;0;2789335,26;2789335,26;2789335,26;
11-GOVERNADORIA DO MUNICIPIO;-;319011;Vencimentos E Vantagens Fixas -  Pessoal Civil;99;Outras Despesas Fixas - Pessoal Civil;Orçamentário;19160682,24;19160682,24;5438396,07;13722286,17;0;13722286,17;13722286,17;13722286,17;
