Tipo;Quebra1;Quebra2;Ficha;Dotação;Orçado Atualizado;Mês 1;Mês 2;Mês 3;Mês 4;Mês 5;Mês 6;Mês 7;Mês 8;Mês 9;Mês 10;Mês 11;Mês 12
Analitico;0;0;10-11105.0412204062.206.3.1.90.0100000000;11105.0412204062.206.3.1.90.0100000000;0;8455,5;0;0;0;0;0;0;0;0;0;0;0
Analitico;0;0;489-11105.0412204062.206.3.1.90.0100;11105.0412204062.206.3.1.90.0100;0;11117,42;0;0;0;0;0;0;0;0;0;0;0
Analitico;0;0;31-11105.1512204062.174.3.3.90.0100;11105.1512204062.174.3.3.90.0100;0;2000;0;0;0;0;0;0;0;0;0;0;0
Analitico;0;0;31-11105.0412204062.174.3.3.90.0100000000;11105.0412204062.174.3.3.90.0100000000;0;120000;0;0;0;0;0;0;0;0;0;0;0
Analitico;0;0;44-11103.0309204062.248.3.3.90.0100;11103.0309204062.248.3.3.90.0100;0;9000;0;0;0;0;0;0;0;0;0;0;0
Analitico;0;0;126-11103.0309204062.174.3.3.90.0100;11103.0309204062.174.3.3.90.0100;0;2100;0;0;0;0;0;0;0;0;0;0;0
Analitico;0;0;128-11103.0309204062.248.3.3.90.0100;11103.0309204062.248.3.3.90.0100;0;3500;0;0;0;0;0;0;0;0;0;0;0
Analitico;0;0;166-11103.0309204062.174.3.3.90.0100;11103.0309204062.174.3.3.90.0100;0;27456,12;0;0;0;0;0;0;0;0;0;0;-23456,12
Analitico;0;0;225-11103.0309204062.174.3.3.90.0100000000;11103.0309204062.174.3.3.90.0100000000;0;8151,76;0;0;0;0;0;0;0;0;0;0;-8151,76
Analitico;0;0;261-11105.1512204062.174.3.3.90.0100;11105.1512204062.174.3.3.90.0100;0;1200;0;0;0;0;0;0;0;0;0;0;0
Analitico;0;0;78-11105.1512204062.174.4.4.90.0100;11105.1512204062.174.4.4.90.0100;0;3973,5;0;0;0;0;0;0;0;0;0;0;0
Analitico;0;0;264-11105.1545204022.147.4.4.90.0100;11105.1545204022.147.4.4.90.0100;0;7930;0;0;0;0;0;0;0;0;0;0;0
Analitico;0;0;458-11111.0618102402.313.4.4.90.0124000054;11111.0618102402.313.4.4.90.0124000054;0;319379;0;0;0;0;0;0;0;0;0;0;0
Analitico;0;0;469-11105.0412204062.174.4.4.90.0100000000;11105.0412204062.174.4.4.90.0100000000;0;2700;0;0;0;0;0;0;0;0;0;0;0
Analitico;0;0;1-11101.0412204032.138.3.1.90.04.1500000000;11101.0412204032.138.3.1.90.04.1500000000;15032334,87;13662334,87;0;0;0;1200000;0;0;0;0;0;0;-1556008,99
Analitico;0;0;5-11103.0412204032.138.3.1.90.04.1500000000;11103.0412204032.138.3.1.90.04.1500000000;216652,8;216652,8;0;0;0;0;0;0;0;0;0;-825,21;-27801,19
